City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
115,Saint-Philippe,RE,-21.36,55.77,72.95,88,16,8.75,few clouds
116,Norman Wells,CA,65.28,-126.83,32.04,93,90,13.8,light snow
117,East London,ZA,-33.02,27.91,59.94,72,0,9.22,clear sky
118,Marabba,SD,12.35,32.18,81.07,64,100,5.93,light rain
119,Kamennogorsk,RU,60.95,29.13,50.81,78,100,11.97,overcast clouds
120,Pakala,IN,13.47,79.12,75.43,86,100,4.14,overcast clouds
121,Petropavlovsk-Kamchatskiy,RU,53.05,158.65,37.99,100,90,6.71,light intensity shower rain
122,Padang,ID,-0.95,100.35,75.61,96,100,1.39,overcast clouds
123,Namatanai,PG,-3.67,152.43,78.78,80,39,3.09,scattered clouds
124,Port Alfred,ZA,-33.59,26.89,61.16,66,1,22.77,clear sky
125,Vostok,RU,46.49,135.88,37.94,93,100,15.03,overcast clouds
126,Atuona,PF,-9.80,-139.03,77.56,79,22,19.15,few clouds
127,Devils Lake,US,48.11,-98.87,48.31,97,90,13.0,moderate rain
128,Thunder Bay,CA,48.40,-89.32,63.99,99,90,10.36,mist
129,Columbia,US,34.00,-81.03,82.04,60,1,1.99,clear sky
130,Salina,US,38.84,-97.61,62.73,59,1,12.66,clear sky
131,Sorsk,RU,54.00,90.25,35.87,67,100,2.19,overcast clouds
132,Harper,LR,4.38,-7.72,77.95,88,94,9.24,light rain
133,Alyangula,AU,-13.85,136.42,71.47,94,99,0.0,overcast clouds
134,Pangnirtung,CA,66.15,-65.71,30.2,100,75,4.61,fog
135,Clinton,US,42.59,-82.92,78.24,86,87,1.01,overcast clouds
136,Katsuura,JP,35.13,140.30,72.1,71,95,13.2,overcast clouds
137,Upernavik,GL,72.79,-56.15,32.79,98,100,11.83,snow
138,Saskylakh,RU,71.92,114.08,13.06,96,100,6.76,overcast clouds
139,Dwarka,IN,22.24,68.97,82.49,76,5,6.93,clear sky
140,Victoria,HK,22.29,114.16,81.32,90,100,1.99,light rain
141,Naze,JP,28.37,129.48,77.27,87,60,16.26,broken clouds
142,Jacmel,HT,18.23,-72.53,93.04,67,100,6.24,overcast clouds
143,Tel Aviv-Yafo,IL,32.08,34.78,76.69,71,0,3.44,clear sky
144,Cayenne,GF,4.93,-52.33,89.64,73,35,5.99,scattered clouds
145,Nishihara,JP,26.18,127.76,82.45,89,75,18.41,light rain
146,Saint-Augustin,CA,51.23,-58.65,57.38,42,83,4.47,broken clouds
147,Varkaus,FI,62.32,27.87,51.91,79,100,10.8,overcast clouds
148,Camacha,PT,33.08,-16.33,70.56,64,20,14.97,few clouds
149,Northam,GB,51.03,-4.22,58.6,78,12,11.07,few clouds
150,Kirakira,SB,-10.45,161.92,78.12,84,97,2.8,overcast clouds
