City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
103,Vaini,TO,2021-10-01 22:40:55,-21.2,-175.2,73.76,77,74,24.47
104,Chiredzi,ZW,2021-10-01 22:40:56,-21.05,31.6667,69.12,60,0,6.87
105,Sao Filipe,CV,2021-10-01 22:40:56,14.8961,-24.4956,78.82,79,36,6.69
106,Kahului,US,2021-10-01 22:40:57,20.8947,-156.47,87.82,63,20,26.46
107,Vestmannaeyjar,IS,2021-10-01 22:40:57,63.4427,-20.2734,46.18,82,62,24.45
108,Meiganga,CM,2021-10-01 22:40:57,6.5167,14.3,64.33,97,91,2.91
109,Alofi,NU,2021-10-01 22:40:58,-19.0595,-169.9187,78.69,73,84,18.41
110,Kangasala,FI,2021-10-01 22:40:58,61.4638,24.076,48.97,94,100,10.45
111,North Platte,US,2021-10-01 22:40:58,41.1239,-100.7654,75.09,53,75,1.99
112,Libreville,GA,2021-10-01 22:40:59,0.3925,9.4537,77.02,94,40,10.36
113,Tasiilaq,GL,2021-10-01 22:40:59,65.6145,-37.6368,35.76,54,30,5.08
114,Zyryanka,RU,2021-10-01 22:41:00,65.75,150.85,31.44,94,100,3.0
115,Urumqi,CN,2021-10-01 22:41:00,43.801,87.6005,43.75,61,0,6.71
116,Mahebourg,MU,2021-10-01 22:41:01,-20.4081,57.7,72.25,78,75,11.5
117,Smithers,CA,2021-10-01 22:41:01,54.7804,-127.1743,48.52,61,90,11.5
118,Fort William,GB,2021-10-01 22:41:02,56.8165,-5.1121,48.78,90,81,9.31
119,Tanout,NE,2021-10-01 22:41:02,14.9709,8.8879,87.4,14,6,8.63
120,Bambous Virieux,MU,2021-10-01 22:41:02,-20.3428,57.7575,72.21,78,75,11.5
121,Najran,SA,2021-10-01 22:41:03,17.4924,44.1277,74.05,31,43,2.64
122,Longyearbyen,SJ,2021-10-01 22:41:03,78.2186,15.6401,35.44,87,75,3.44
123,West Fargo,US,2021-10-01 22:41:04,46.875,-96.9004,66.25,72,90,4.0
124,Dikson,RU,2021-10-01 22:41:04,73.5069,80.5464,31.26,81,100,17.49
125,College,US,2021-10-01 22:41:04,64.8569,-147.8028,33.46,90,90,4.61
126,Pevek,RU,2021-10-01 22:41:05,69.7008,170.3133,20.01,84,70,8.05
127,Khasan,RU,2021-10-01 22:41:05,42.4308,130.6434,55.99,67,67,3.83
128,Airai,TL,2021-10-01 22:41:05,-8.9266,125.4092,69.82,51,70,0.02
