City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
620,Pangai,TO,71.71,overcast clouds,-19.8,-174.35,Ha'apai Beach Resort
623,Kang,BW,72.9,clear sky,-23.68,22.79,Kang Ultra Stop
624,Camana,PE,66.69,broken clouds,-16.62,-72.71,Hostal Morales
627,Seoul,KR,60.31,overcast clouds,37.57,126.98,Lotte Hotel Seoul
636,Broome,US,70.5,overcast clouds,42.25,-75.83,Chenango Valley State Park
646,Kikuchi,JP,74.32,clear sky,32.98,130.82,清流荘
649,Haizhou,CN,58.05,light rain,34.58,119.13,Shiji Yuan International Hotel
652,Pampas,PE,66.31,broken clouds,-12.4,-74.9,Pamuri Andes Lodge
655,Longyan,CN,70.56,clear sky,25.11,117.02,Jinjiang Inn Longyan Zhongshan Road Pedestrian Street
659,Champasak,LA,73.2,overcast clouds,14.75,106.0,Kiat Ngong Wetland BUNGALOW
667,Pringsewu,ID,74.66,overcast clouds,-5.36,104.97,Urban Style by Front One
676,Portland,US,59.11,broken clouds,45.52,-122.68,The Bidwell Marriott Portland
678,Ponta Delgada,PT,72.32,scattered clouds,37.73,-25.67,Vila Nova Hotel
683,Iquique,CL,62.64,scattered clouds,-20.22,-70.14,Backpacker`s Hostel Iquique
